ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
6.2,M2K 03-25,2025-01-12 23:35:22,Long,2175.6,2025-01-13 04:16:03,2185.8,TP1_Long_06,102.00,3.80,98.20,-92.50,1392.50,USA Low,6,20.40,0,1,0,0,2
6.3,M2K 03-25,2025-01-12 23:35:22,Long,2175.6,2025-01-13 04:16:03,2185.8,TP1_Long_06,255.00,9.50,245.50,-92.50,1392.50,USA Low,6,51.00,0,1,0,0,2
6.4,M2K 03-25,2025-01-12 23:35:22,Long,2175.6,2025-01-13 04:16:03,2185.8,TP1_Long_06,102.00,3.80,98.20,-92.50,1392.50,USA Low,6,20.40,0,1,0,0,2
6.5,M2K 03-25,2025-01-12 23:35:22,Long,2175.6,2025-01-13 04:16:03,2185.8,TP1_Long_06,153.00,5.70,147.30,-92.50,1392.50,USA Low,6,30.60,0,1,0,0,2
6.6,M2K 03-25,2025-01-12 23:35:22,Long,2175.6,2025-01-13 04:16:03,2185.8,TP1_Long_06,51.00,1.90,49.10,-92.50,1392.50,USA Low,6,10.20,0,1,0,0,2
6.7,M2K 03-25,2025-01-12 23:35:22,Long,2175.6,2025-01-13 05:01:03,2175.4,SL_Long_06,-6.00,11.40,-17.40,-92.50,1392.50,USA Low,6,-1.20,0,1,0,0,2
6.8,M2K 03-25,2025-01-12 23:35:22,Long,2175.6,2025-01-13 05:01:03,2175.3,SL_Long_06,-10.50,13.30,-23.80,-92.50,1392.50,USA Low,6,-2.10,0,1,0,0,2
7.1,M2K 03-25,2025-01-13 05:07:06,Long,2173.6,2025-01-13 10:34:49,2181.2,TP1_Long_01,38.00,1.90,36.10,-104.50,769.50,Asia Low,1,4.75,0,1,0,0,1
7.2,M2K 03-25,2025-01-13 05:07:06,Long,2173.6,2025-01-13 10:34:49,2181.2,TP1_Long_01,76.00,3.80,72.20,-104.50,769.50,Asia Low,1,9.50,0,1,0,0,1
7.3,M2K 03-25,2025-01-13 05:07:06,Long,2173.6,2025-01-13 10:34:49,2181.2,TP1_Long_01,38.00,1.90,36.10,-104.50,769.50,Asia Low,1,4.75,0,1,0,0,1
7.4,M2K 03-25,2025-01-13 05:07:06,Long,2173.6,2025-01-13 10:34:49,2181.2,TP1_Long_01,228.00,11.40,216.60,-104.50,769.50,Asia Low,1,28.50,0,1,0,0,1
7.5,M2K 03-25,2025-01-13 05:07:06,Long,2173.6,2025-01-13 10:41:19,2173.5,SL_Long_01,-1.50,5.70,-7.20,-104.50,769.50,Asia Low,1,-0.19,0,1,0,0,1
7.6,M2K 03-25,2025-01-13 05:07:06,Long,2173.6,2025-01-13 10:41:19,2173.4,SL_Long_01,-6.00,11.40,-17.40,-104.50,769.50,Asia Low,1,-0.75,0,1,0,0,1
8,M2K 03-25,2025-01-13 15:55:24,Short,2196.8,2025-01-13 16:34:47,2201,SL_Short_01,-147.00,13.30,-160.30,-147.00,98.00,Asia High,1,-7.00,0,1,0,0,1
9.1,M2K 03-25,2025-01-13 17:10:38,Short,2208.7,2025-01-13 17:26:28,2210.6,SL_Short_02,-9.50,1.90,-11.40,-142.50,105.00,Asia High,2,-0.20,0,1,0,0,1
9.2,M2K 03-25,2025-01-13 17:10:38,Short,2208.7,2025-01-13 17:26:28,2210.7,SL_Short_02,-140.00,26.60,-166.60,-142.50,105.00,Asia High,2,-2.95,0,1,0,0,1
10,M2K 03-25,2025-01-13 17:43:25,Short,2209.8,2025-01-13 19:00:01,2211,SL_Short_03,-30.00,9.50,-39.50,-168.00,196.00,Asia High,3,-2.00,0,1,0,0,1
10.2,M2K 03-25,2025-01-13 17:43:25,Short,2209.8,2025-01-13 19:00:01,2211.1,SL_Short_03,-149.50,43.70,-193.20,-168.00,196.00,Asia High,3,-9.97,0,1,0,0,1
11.1,M2K 03-25,2025-01-13 19:45:28,Short,2222.2,2025-01-13 19:45:28,2222.4,Exit_Short_Market,-1.00,1.90,-2.90,-160.50,118.50,USA High,2,-0.33,0,1,0,0,0
11.2,M2K 03-25,2025-01-13 19:45:28,Short,2222.2,2025-01-13 19:45:28,2222.5,Exit_Short_Market,-45.00,57.00,-102.00,-160.50,118.50,USA High,2,-15.00,0,1,0,0,0
12.1,M2K 03-25,2025-01-13 19:52:06,Short,2220.8,2025-01-13 19:53:36,2218.3,TP1_Short_01,12.50,1.90,10.60,-6.00,182.00,USA High,1,1.25,0,1,0,0,3
12.2,M2K 03-25,2025-01-13 19:52:06,Short,2220.8,2025-01-13 19:53:36,2218.3,TP1_Short_01,12.50,1.90,10.60,-6.00,182.00,USA High,1,1.25,0,1,0,0,3
12.3,M2K 03-25,2025-01-13 19:52:06,Short,2220.8,2025-01-13 19:53:36,2218.3,TP1_Short_01,12.50,1.90,10.60,-6.00,182.00,USA High,1,1.25,0,1,0,0,3
12.4,M2K 03-25,2025-01-13 19:52:06,Short,2220.8,2025-01-13 19:53:36,2218.3,TP1_Short_01,12.50,1.90,10.60,-6.00,182.00,USA High,1,1.25,0,1,0,0,3
12.5,M2K 03-25,2025-01-13 19:52:06,Short,2220.8,2025-01-13 19:53:36,2218.3,TP1_Short_01,12.50,1.90,10.60,-6.00,182.00,USA High,1,1.25,0,1,0,0,3
12.6,M2K 03-25,2025-01-13 19:52:06,Short,2220.8,2025-01-13 19:53:36,2218.3,TP1_Short_01,12.50,1.90,10.60,-6.00,182.00,USA High,1,1.25,0,1,0,0,3
12.7,M2K 03-25,2025-01-13 19:52:06,Short,2220.8,2025-01-13 19:53:36,2218.3,TP1_Short_01,12.50,1.90,10.60,-6.00,182.00,USA High,1,1.25,0,1,0,0,3
